Bank of Honolulu,HI,13-Oct-00
National State Bank of Metropolis,IL,14-Dec-00
First Alliance Bank & Trust Co.,NH,2-Feb-01
Malta National Bank,OH,3-May-01
"Superior Bank, FSB",IL,27-Jul-01
Sinclair National Bank,AR,7-Sep-01
"Hamilton Bank, NA",FL,11-Jan-02
Bank of Sierra Blanca,TX,18-Jan-02
Oakwood Deposit Bank Co.,OH,1-Feb-02
"NextBank, NA",AZ,7-Feb-02
Net 1st National Bank,FL,1-Mar-02
New Century Bank,MI,28-Mar-02
Connecticut Bank of Commerce,CT,26-Jun-02
Universal Federal Savings Bank,IL,27-Jun-02
AmTrade International Bank,GA,30-Sep-02
Bank of Alamo,TN,8-Nov-02
Farmers Bank of Cheneyville,LA,17-Dec-02
Southern Pacific Bank,CA,7-Feb-03
First National Bank of Blanchardville,WI,9-May-03
Pulaski Savings Bank,PA,14-Nov-03
Dollar Savings Bank,NJ,14-Feb-04
Guaranty National Bank of Tallahassee,FL,12-Mar-04
Reliance Bank,NY,19-Mar-04
Bank of Ephraim,UT,25-Jun-04
Metropolitan Savings Bank,PA,2-Feb-07
NetBank,GA,28-Sep-07
Miami Valley Bank,OH,4-Oct-07
Douglass National Bank,MO,25-Jan-08
Hume Bank,MO,7-Mar-08
"ANB Financial, NA",AR,9-May-08
"First Integrity Bank, NA",MN,30-May-08
IndyMac Bank,CA,11-Jul-08
"First Heritage Bank, NA",CA,25-Jul-08
First National Bank of Nevada,NV,25-Jul-08
First Priority Bank,FL,1-Aug-08
Columbian Bank & Trust,KS,22-Aug-08
Integrity Bank,GA,29-Aug-08
Silver State Bank,NV,5-Sep-08
Ameribank,WV,19-Sep-08
Washington Mutual Bank (Including its subsidiary Washington Mutual Bank FSB),NV,25-Sep-08
Meridian Bank,IL,10-Oct-08
Main Street Bank,MI,10-Oct-08
Alpha Bank & Trust,GA,24-Oct-08
Freedom Bank,FL,31-Oct-08
Security Pacific Bank,CA,7-Nov-08
"Franklin Bank, SSB",TX,7-Nov-08
PFF Bank & Trust,CA,21-Nov-08
Downey Savings & Loan,CA,21-Nov-08
Community Bank,GA,21-Nov-08
First Georgia Community Bank,GA,5-Dec-08
Sanderson State Bank,TX,12-Dec-08
Haven Trust Bank,GA,12-Dec-08
Bank of Clark County,WA,16-Jan-09
National Bank of Commerce,IL,16-Jan-09
1st Centennial Bank,CA,23-Jan-09
Ocala National Bank,FL,30-Jan-09
Suburban FSB,MD,30-Jan-09
MagnetBank,UT,30-Jan-09
County Bank,CA,6-Feb-09
Alliance Bank,CA,6-Feb-09
FirstBank Financial Services,GA,6-Feb-09
Pinnacle Bank of Oregon,OR,13-Feb-09
Corn Belt Bank & Trust Co.,IL,13-Feb-09
Riverside Bank of the Gulf Coast,FL,13-Feb-09
Sherman County Bank,NE,13-Feb-09
Silver Falls Bank,OR,20-Feb-09
Security Savings Bank,NV,27-Feb-09
Heritage Community Bank,IL,27-Feb-09
Freedom Bank of Georgia,GA,6-Mar-09
"TeamBank, NA",KS,20-Mar-09
Colorado National Bank,CO,20-Mar-09
FirstCity Bank,GA,20-Mar-09
Omni National Bank,GA,27-Mar-09
New Frontier Bank,CO,10-Apr-09
Cape Fear Bank,NC,10-Apr-09
Great Basin Bank of Nevada,NV,17-Apr-09
American Sterling Bank,MO,17-Apr-09
First Bank of Idaho,ID,24-Apr-09
First Bank of Beverly Hills,CA,24-Apr-09
Michigan Heritage Bank,MI,24-Apr-09
American Southern Bank,GA,24-Apr-09
America West Bank,UT,1-May-09
Citizens Community Bank,NJ,1-May-09
"Silverton Bank, NA",GA,1-May-09
Westsound Bank,WA,8-May-09
"BankUnited, FSB",FL,21-May-09
Citizens National Bank,IL,22-May-09
Strategic Capital Bank,IL,22-May-09
Bank of Lincolnwood,IL,5-Jun-09
First National Bank of Anthony,KS,19-Jun-09
Cooperative Bank,NC,19-Jun-09
Southern Community Bank,GA,19-Jun-09
Mirae Bank,CA,26-Jun-09
MetroPacific Bank,CA,26-Jun-09
Horizon Bank,MN,26-Jun-09
Neighborhood Community Bank,GA,26-Jun-09
Community Bank of West Georgia,GA,26-Jun-09
Founders Bank,IL,2-Jul-09
Millennium State Bank of Texas,TX,2-Jul-09
First National Bank of Danville,IL,2-Jul-09
The Elizabeth State Bank,IL,2-Jul-09
Rock River Bank,IL,2-Jul-09
First State Bank of Winchester,IL,2-Jul-09
John Warner Bank,IL,2-Jul-09
Bank of Wyoming,WY,10-Jul-09
Temecula Valley Bank,CA,17-Jul-09
Vineyard Bank,CA,17-Jul-09
BankFirst,SD,17-Jul-09
First Piedmont Bank,GA,17-Jul-09
Security Bank of Jones County,GA,24-Jul-09
Security Bank of Houston County,GA,24-Jul-09
Security Bank of Bibb County,GA,24-Jul-09
Security Bank of North Metro,GA,24-Jul-09
Security Bank of North Fulton,GA,24-Jul-09
Security Bank of Gwinnett County,GA,24-Jul-09
Waterford Village Bank,NY,24-Jul-09
Mutual Bank,IL,31-Jul-09
First BankAmericano,NJ,31-Jul-09
Peoples Community Bank,OH,31-Jul-09
Integrity Bank,FL,31-Jul-09
First State Bank of Altus,OK,31-Jul-09
Community First Bank,OR,7-Aug-09
Community National Bank of Sarasota County,FL,7-Aug-09
First State Bank,FL,7-Aug-09
Community Bank of Nevada,NV,14-Aug-09
Community Bank of Arizona,AZ,14-Aug-09
"Union Bank, National Association",AZ,14-Aug-09
Colonial Bank,AL,14-Aug-09
Dwelling House Savings and Loan Association,PA,14-Aug-09
Guaranty Bank,TX,21-Aug-09
CapitalSouth Bank,AL,21-Aug-09
First Coweta Bank,GA,21-Aug-09
ebank,GA,21-Aug-09
Affinity Bank,CA,28-Aug-09
Mainstreet Bank,MN,28-Aug-09
Bradford Bank,MD,28-Aug-09
First State Bank,AZ,4-Sep-09
Platinum Community Bank,IL,4-Sep-09
Vantus Bank,IA,4-Sep-09
InBank,IL,4-Sep-09
First Bank of Kansas City,MO,4-Sep-09
Venture Bank,WA,11-Sep-09
Brickwell Community Bank,MN,11-Sep-09
"Corus Bank, N.A.",IL,11-Sep-09
"Irwin Union Bank, F.S.B.",KY,18-Sep-09
Irwin Union Bank and Trust Company,IN,18-Sep-09
Georgian Bank,GA,25-Sep-09
Southern Colorado National Bank,CO,2-Oct-09
Jennings State Bank,MN,2-Oct-09
Warren Bank,MI,2-Oct-09
San Joaquin Bank,CA,16-Oct-09
First DuPage Bank,IL,23-Oct-09
Riverview Community Bank,MN,23-Oct-09
Bank of Elmwood,WI,23-Oct-09
Flagship National Bank,FL,23-Oct-09
Hillcrest Bank Florida,FL,23-Oct-09
American United Bank,GA,23-Oct-09
Partners Bank,FL,23-Oct-09
North Houston Bank,TX,30-Oct-09
Madisonville State Bank,TX,30-Oct-09
Citizens National Bank,TX,30-Oct-09
Park National Bank,IL,30-Oct-09
Pacific National Bank,CA,30-Oct-09
California National Bank,CA,30-Oct-09
San Diego National Bank,CA,30-Oct-09
Community Bank of Lemont,IL,30-Oct-09
"Bank USA, N.A.",AZ,30-Oct-09
United Commercial Bank,CA,6-Nov-09
Gateway Bank of St. Louis,MO,6-Nov-09
Prosperan Bank,MN,6-Nov-09
Home Federal Savings Bank,MI,6-Nov-09
United Security Bank,GA,6-Nov-09
Pacific Coast National Bank,CA,13-Nov-09
Orion Bank,FL,13-Nov-09
"Century Bank, F.S.B.",FL,13-Nov-09
Commerce Bank of Southwest Florida,FL,20-Nov-09
Greater Atlantic Bank,VA,4-Dec-09
Benchmark Bank,IL,4-Dec-09
AmTrust Bank,OH,4-Dec-09
The Tattnall Bank,GA,4-Dec-09
First Security National Bank,GA,4-Dec-09
The Buckhead Community Bank,GA,4-Dec-09
SolutionsBank,KS,11-Dec-09
"Valley Capital Bank, N.A.",AZ,11-Dec-09
"Republic Federal Bank, N.A.",FL,11-Dec-09
"First Federal Bank of California, F.S.B.",CA,18-Dec-09
Imperial Capital Bank,CA,18-Dec-09
Independent Bankers' Bank,IL,18-Dec-09
New South Federal Savings Bank,AL,18-Dec-09
Citizens State Bank,MI,18-Dec-09
Peoples First Community Bank,FL,18-Dec-09
RockBridge Commercial Bank,GA,18-Dec-09
Horizon Bank,WA,8-Jan-10
Barnes Banking Company,UT,15-Jan-10
St. Stephen State Bank,MN,15-Jan-10
Town Community Bank & Trust,IL,15-Jan-10
Columbia River Bank,OR,22-Jan-10
Evergreen Bank,WA,22-Jan-10
Charter Bank,NM,22-Jan-10
Bank of Leeton,MO,22-Jan-10
Premier American Bank,FL,22-Jan-10
American Marine Bank,WA,29-Jan-10
First Regional Bank,CA,29-Jan-10
Community Bank and Trust,GA,29-Jan-10
